51,4,same,up,down
2,4.9,9.4,7.9,5.3
1,7.9,8.6,8,7.9
2,8.1,8.6,8.5,8.1
2,8,8.8,8.5,8.9
2,7.4,8.8,8.5,9
2,5.6,9.6,8.2,7
1,8.6,8.6,7.9,9
2,8.4,8.6,7.8,9.2
2,8.7,8.8,8.8,9.4
1,8.4,9,8.6,8.5
1,5.8,9.9,8.9,6.6
1,8.8,8.7,8.7,8.8
2,9.3,8.8,8.7,8.9
2,10,9.1,8.5,9.4
1,9.5,9.2,9.1,8.6
1,5,9.4,8.9,6.2
2,7.9,8.4,9,8.4
2,8.3,8.5,8.8,8.9
2,8.1,8.4,8.2,9.4
2,5.8,9.2,8.5,6.3
1,8.2,8.3,7.7,9
2,8.8,8.7,8.7,9.2
1,8.6,8.7,8.6,9.4
2,7.8,9,8.8,9.7
1,5.7,10,8.7,6.2
1,8.6,8.6,8.5,9
1,8.3,8.6,8.4,8.8
2,8.3,8.4,8.3,9.1
2,7.9,8.8,9.3,8.7
1,5.8,9.7,9.1,6.6
1,8.4,8.3,8.1,9
1,8.3,8.6,8.4,8.5
2,8.6,8.8,8.7,9.2
1,8.2,8.8,8.6,8.4
1,5.4,9.7,9.1,6.2
2,7.7,8.1,7.8,8.2
1,8.2,8.3,8.6,8.4
2,8.7,8.5,9.1,8.8
2,8.3,8.4,8.7,8.7
1,5.7,9.7,8.9,5.9
1,8,7.6,8.2,8.5
2,8.4,8,8.5,8.5
1,9,8.1,8.7,8.6
1,8.4,8.4,9.4,8.7
1,6.1,9.5,8.9,6
1,9.2,7.9,9.1,9.3
2,9.1,7.7,9.2,8.9
2,8.9,7.9,8.7,9.2
2,7.6,8,9.1,8.8
2,6.8,9.1,10,6.5
2,8.9,7.6,8.5,8.8