54,4,same,up,down
288.1,280.86,4.5,5.6,2
286.66,288.1,7.8,8.3,1
287.53,286.66,7.8,7.8,2
287.93,287.53,8.1,8.4,2
292.82,287.93,7.5,8.2,2
294.03,292.82,5.6,6.2,2
291.18,294.03,8.1,8.8,1
291.81,291.18,8.1,8.9,2
294.02,291.81,8.6,8.8,2
293.49,294.02,8.4,8.2,1
293.51,293.87,5.6,5.9,1
292.1,293.41,8.6,8.4,1
292.12,292.05,9,7.7,2
292.79,292.23,10,8,2
290.68,292.88,9.4,8.3,1
289.17,290.27,4.9,5.1,1
290.1,290.02,7.6,7.9,2
291.4,289.45,7.8,9,2
290.95,290.16,8,9.7,2
290.24,289.97,5.6,7,2
290,290.16,8.2,9.5,1
288.83,288.21,8.2,9,2
287.77,288.29,8.1,9.4,1
287.72,287.31,7.6,9,2
288.1,288.79,5.2,6.6,1
287.92,288.57,8.2,9.5,1
286.78,287.18,7.9,9.4,1
287.32,286.42,8,10,2
286.04,285.97,7.9,9.9,2
284.7,285.83,5.8,7.8,1
282.39,282.48,7.8,8.6,1
280.35,280.71,8.2,8.9,1
281.11,279.65,8.1,9.1,2
280.99,281.12,7.9,8.8,1
278.87,279.04,5.2,6.3,1
283.22,279.25,7.8,8.2,2
280.64,284.73,8.1,7.7,1
282.16,281.55,8.3,7.9,2
283.51,282.4,8.2,8.1,2
281.55,282.33,5.6,6,1
280.54,281.31,7.6,8.1,1
281.37,281.16,8.2,7.8,2
280.48,281.34,8.4,7.9,1
279.06,279.49,8.3,8.8,1
275.26,278.44,5.5,6,1
272.94,274.46,9,8,1
276.83,275.01,8.8,8,2
279.15,277.33,8.9,8,2
279.54,279.02,7.7,8.1,2
281.6,279.4,6.8,6.7,2
280.44,280.42,8.2,8,2
278.96,278.68,8.7,7.6,2
278.52,279.2,9.2,8,1
279.13,279.32,8,7.6,1